Date,LMP,Node
10/18/2016 10:00:00 PM,16.12,.Z.NEWHAMPSHIRE
10/18/2016 10:00:00 PM,14.18,.Z.VERMONT
10/18/2016 10:00:00 PM,16.44,.Z.CONNECTICUT
10/18/2016 10:00:00 PM,16.14,.Z.RHODEISLAND
10/18/2016 10:00:00 PM,16.22,.Z.SEMASS
10/18/2016 10:00:00 PM,16.31,.Z.WCMASS
10/18/2016 10:00:00 PM,16.26,.Z.NEMASSBOST
10/18/2016 11:00:00 PM,15.62,.Z.MAINE
10/18/2016 11:00:00 PM,15.74,.Z.NEWHAMPSHIRE
10/18/2016 11:00:00 PM,15.36,.Z.VERMONT
10/18/2016 11:00:00 PM,15.95,.Z.CONNECTICUT
10/18/2016 11:00:00 PM,15.74,.Z.RHODEISLAND
10/18/2016 11:00:00 PM,15.77,.Z.SEMASS
10/18/2016 11:00:00 PM,15.89,.Z.WCMASS
10/18/2016 11:00:00 PM,15.82,.Z.NEMASSBOST
10/19/2016 12:00:00 AM,17.07,.Z.MAINE
10/19/2016 12:00:00 AM,17.25,.Z.NEWHAMPSHIRE
10/19/2016 12:00:00 AM,15.42,.Z.VERMONT
10/19/2016 12:00:00 AM,17.57,.Z.CONNECTICUT
10/19/2016 12:00:00 AM,17.35,.Z.RHODEISLAND
10/19/2016 12:00:00 AM,17.38,.Z.SEMASS
10/19/2016 12:00:00 AM,17.48,.Z.WCMASS
10/19/2016 12:00:00 AM,17.36,.Z.NEMASSBOST
10/19/2016 1:00:00 AM,12.43,.Z.MAINE
10/19/2016 1:00:00 AM,12.57,.Z.NEWHAMPSHIRE
10/19/2016 1:00:00 AM,10.65,.Z.VERMONT
10/19/2016 1:00:00 AM,12.81,.Z.CONNECTICUT
10/19/2016 1:00:00 AM,12.63,.Z.RHODEISLAND
10/19/2016 1:00:00 AM,12.66,.Z.SEMASS
10/19/2016 1:00:00 AM,12.75,.Z.WCMASS
10/19/2016 1:00:00 AM,12.64,.Z.NEMASSBOST
10/19/2016 2:00:00 AM,3.75,.Z.MAINE
10/19/2016 2:00:00 AM,3.81,.Z.NEWHAMPSHIRE
10/19/2016 2:00:00 AM,2.59,.Z.VERMONT
10/19/2016 2:00:00 AM,3.91,.Z.CONNECTICUT
10/19/2016 2:00:00 AM,3.84,.Z.RHODEISLAND
10/19/2016 2:00:00 AM,3.84,.Z.SEMASS
10/19/2016 2:00:00 AM,3.87,.Z.WCMASS
10/19/2016 2:00:00 AM,3.83,.Z.NEMASSBOST
10/19/2016 3:00:00 AM,14.06,.Z.MAINE
10/19/2016 3:00:00 AM,14.3,.Z.NEWHAMPSHIRE
10/19/2016 3:00:00 AM,14.58,.Z.VERMONT
10/19/2016 3:00:00 AM,14.57,.Z.CONNECTICUT
10/19/2016 3:00:00 AM,14.36,.Z.RHODEISLAND
10/19/2016 3:00:00 AM,14.39,.Z.SEMASS
10/19/2016 3:00:00 AM,14.51,.Z.WCMASS
10/19/2016 3:00:00 AM,14.36,.Z.NEMASSBOST
10/19/2016 4:00:00 AM,-3.3,.Z.MAINE
10/19/2016 4:00:00 AM,-3.39,.Z.NEWHAMPSHIRE
10/19/2016 4:00:00 AM,-3.42,.Z.VERMONT
10/19/2016 4:00:00 AM,-3.41,.Z.CONNECTICUT
10/19/2016 4:00:00 AM,-3.42,.Z.RHODEISLAND
10/19/2016 4:00:00 AM,-3.44,.Z.SEMASS
10/19/2016 4:00:00 AM,-3.44,.Z.WCMASS
10/19/2016 4:00:00 AM,-3.42,.Z.NEMASSBOST
10/19/2016 5:00:00 AM,20.38,.Z.MAINE
10/19/2016 5:00:00 AM,20.58,.Z.NEWHAMPSHIRE
10/19/2016 5:00:00 AM,20.84,.Z.VERMONT
10/19/2016 5:00:00 AM,20.77,.Z.CONNECTICUT
10/19/2016 5:00:00 AM,20.53,.Z.RHODEISLAND
10/19/2016 5:00:00 AM,20.58,.Z.SEMASS
10/19/2016 5:00:00 AM,20.72,.Z.WCMASS
10/19/2016 5:00:00 AM,20.61,.Z.NEMASSBOST
10/19/2016 6:00:00 AM,20.61,.Z.MAINE
10/19/2016 6:00:00 AM,20.66,.Z.NEWHAMPSHIRE
10/19/2016 6:00:00 AM,20.78,.Z.VERMONT
10/19/2016 6:00:00 AM,20.7,.Z.CONNECTICUT
10/19/2016 6:00:00 AM,20.53,.Z.RHODEISLAND
10/19/2016 6:00:00 AM,20.65,.Z.SEMASS
10/19/2016 6:00:00 AM,20.68,.Z.WCMASS
10/19/2016 6:00:00 AM,20.74,.Z.NEMASSBOST
10/19/2016 7:00:00 AM,37.19,.Z.MAINE
10/19/2016 7:00:00 AM,37.37,.Z.NEWHAMPSHIRE
10/19/2016 7:00:00 AM,37.81,.Z.VERMONT
10/19/2016 7:00:00 AM,37.43,.Z.CONNECTICUT
10/19/2016 7:00:00 AM,37.09,.Z.RHODEISLAND
10/19/2016 7:00:00 AM,37.41,.Z.SEMASS
10/19/2016 7:00:00 AM,37.34,.Z.WCMASS
10/19/2016 7:00:00 AM,37.6,.Z.NEMASSBOST
10/19/2016 8:00:00 AM,28.74,.Z.MAINE
10/19/2016 8:00:00 AM,28.91,.Z.NEWHAMPSHIRE
10/19/2016 8:00:00 AM,29.28,.Z.VERMONT
10/19/2016 8:00:00 AM,29.08,.Z.CONNECTICUT
10/19/2016 8:00:00 AM,28.73,.Z.RHODEISLAND
10/19/2016 8:00:00 AM,28.97,.Z.SEMASS
10/19/2016 8:00:00 AM,28.92,.Z.WCMASS
10/19/2016 8:00:00 AM,29.13,.Z.NEMASSBOST
10/19/2016 9:00:00 AM,26.71,.Z.MAINE
10/19/2016 9:00:00 AM,26.85,.Z.NEWHAMPSHIRE
10/19/2016 9:00:00 AM,25.55,.Z.VERMONT
10/19/2016 9:00:00 AM,26.93,.Z.CONNECTICUT
10/19/2016 9:00:00 AM,26.68,.Z.RHODEISLAND
10/19/2016 9:00:00 AM,26.8,.Z.SEMASS
10/19/2016 9:00:00 AM,26.82,.Z.WCMASS
10/19/2016 9:00:00 AM,27.02,.Z.NEMASSBOST
10/19/2016 10:00:00 AM,36.08,.Z.MAINE
10/19/2016 10:00:00 AM,36.53,.Z.NEWHAMPSHIRE
10/19/2016 10:00:00 AM,36.12,.Z.VERMONT
10/19/2016 10:00:00 AM,36.85,.Z.CONNECTICUT
10/19/2016 10:00:00 AM,36.44,.Z.RHODEISLAND
10/19/2016 10:00:00 AM,36.55,.Z.SEMASS
10/19/2016 10:00:00 AM,36.62,.Z.WCMASS
10/19/2016 10:00:00 AM,36.86,.Z.NEMASSBOST
10/19/2016 11:00:00 AM,42.41,.Z.MAINE
10/19/2016 11:00:00 AM,43.15,.Z.NEWHAMPSHIRE
10/19/2016 11:00:00 AM,43.57,.Z.VERMONT
10/19/2016 11:00:00 AM,43.97,.Z.CONNECTICUT
10/19/2016 11:00:00 AM,43.15,.Z.RHODEISLAND
10/19/2016 11:00:00 AM,43.33,.Z.SEMASS
10/19/2016 11:00:00 AM,43.99,.Z.WCMASS
10/19/2016 11:00:00 AM,75.83,.Z.NEMASSBOST
10/19/2016 12:00:00 PM,26.38,.Z.MAINE
10/19/2016 12:00:00 PM,26.86,.Z.NEWHAMPSHIRE
10/19/2016 12:00:00 PM,27.04,.Z.VERMONT
10/19/2016 12:00:00 PM,27.38,.Z.CONNECTICUT
10/19/2016 12:00:00 PM,26.86,.Z.RHODEISLAND
10/19/2016 12:00:00 PM,27,.Z.SEMASS
10/19/2016 12:00:00 PM,28.2,.Z.WCMASS
10/19/2016 12:00:00 PM,90.31,.Z.NEMASSBOST
10/19/2016 1:00:00 PM,24.61,.Z.MAINE
10/19/2016 1:00:00 PM,25.31,.Z.NEWHAMPSHIRE
10/19/2016 1:00:00 PM,25.52,.Z.VERMONT
10/19/2016 1:00:00 PM,25.85,.Z.CONNECTICUT
10/19/2016 1:00:00 PM,25.37,.Z.RHODEISLAND
10/19/2016 1:00:00 PM,25.52,.Z.SEMASS
10/19/2016 1:00:00 PM,26.77,.Z.WCMASS
10/19/2016 1:00:00 PM,91.81,.Z.NEMASSBOST
10/19/2016 2:00:00 PM,25.8,.Z.MAINE
10/19/2016 2:00:00 PM,26.56,.Z.NEWHAMPSHIRE
10/19/2016 2:00:00 PM,26.83,.Z.VERMONT
10/19/2016 2:00:00 PM,27.22,.Z.CONNECTICUT
10/19/2016 2:00:00 PM,26.63,.Z.RHODEISLAND
10/19/2016 2:00:00 PM,26.8,.Z.SEMASS
10/19/2016 2:00:00 PM,28.05,.Z.WCMASS
10/19/2016 2:00:00 PM,92.02,.Z.NEMASSBOST
10/19/2016 3:00:00 PM,29.14,.Z.MAINE
10/19/2016 3:00:00 PM,29.93,.Z.NEWHAMPSHIRE
10/19/2016 3:00:00 PM,30.41,.Z.VERMONT
10/19/2016 3:00:00 PM,30.96,.Z.CONNECTICUT
10/19/2016 3:00:00 PM,30.06,.Z.RHODEISLAND
10/19/2016 3:00:00 PM,30.3,.Z.SEMASS
10/19/2016 3:00:00 PM,31.59,.Z.WCMASS
10/19/2016 3:00:00 PM,92.34,.Z.NEMASSBOST
10/19/2016 4:00:00 PM,26.86,.Z.MAINE
10/19/2016 4:00:00 PM,25.39,.Z.NEWHAMPSHIRE
10/19/2016 4:00:00 PM,28.19,.Z.VERMONT
10/19/2016 4:00:00 PM,28.68,.Z.CONNECTICUT
10/19/2016 4:00:00 PM,27.85,.Z.RHODEISLAND
10/19/2016 4:00:00 PM,28.09,.Z.SEMASS
10/19/2016 4:00:00 PM,29.39,.Z.WCMASS
10/19/2016 4:00:00 PM,92.94,.Z.NEMASSBOST
10/19/2016 5:00:00 PM,24.86,.Z.MAINE
10/19/2016 5:00:00 PM,23.29,.Z.NEWHAMPSHIRE
10/19/2016 5:00:00 PM,26.11,.Z.VERMONT
10/19/2016 5:00:00 PM,26.36,.Z.CONNECTICUT
10/19/2016 5:00:00 PM,25.76,.Z.RHODEISLAND
10/19/2016 5:00:00 PM,26,.Z.SEMASS
10/19/2016 5:00:00 PM,27.28,.Z.WCMASS
10/19/2016 5:00:00 PM,92.9,.Z.NEMASSBOST
10/19/2016 6:00:00 PM,25.02,.Z.MAINE
10/19/2016 6:00:00 PM,25.66,.Z.NEWHAMPSHIRE
10/19/2016 6:00:00 PM,25.58,.Z.VERMONT
10/19/2016 6:00:00 PM,25.96,.Z.CONNECTICUT
10/19/2016 6:00:00 PM,25.63,.Z.RHODEISLAND
10/19/2016 6:00:00 PM,25.93,.Z.SEMASS
10/19/2016 6:00:00 PM,27.08,.Z.WCMASS
10/19/2016 6:00:00 PM,94.02,.Z.NEMASSBOST
10/19/2016 7:00:00 PM,28.9,.Z.MAINE
10/19/2016 7:00:00 PM,29.5,.Z.NEWHAMPSHIRE
10/19/2016 7:00:00 PM,29.67,.Z.VERMONT
10/19/2016 7:00:00 PM,29.69,.Z.CONNECTICUT
10/19/2016 7:00:00 PM,29.41,.Z.RHODEISLAND
10/19/2016 7:00:00 PM,29.68,.Z.SEMASS
10/19/2016 7:00:00 PM,30.22,.Z.WCMASS
10/19/2016 7:00:00 PM,65.95,.Z.NEMASSBOST
10/19/2016 8:00:00 PM,25.24,.Z.MAINE
10/19/2016 8:00:00 PM,25.6,.Z.NEWHAMPSHIRE
10/19/2016 8:00:00 PM,25.81,.Z.VERMONT
10/19/2016 8:00:00 PM,25.69,.Z.CONNECTICUT
10/19/2016 8:00:00 PM,25.51,.Z.RHODEISLAND
10/19/2016 8:00:00 PM,25.67,.Z.SEMASS
10/19/2016 8:00:00 PM,25.6,.Z.WCMASS
10/19/2016 8:00:00 PM,25.81,.Z.NEMASSBOST
10/19/2016 9:00:00 PM,23.33,.Z.MAINE
10/19/2016 9:00:00 PM,23.7,.Z.NEWHAMPSHIRE
10/19/2016 9:00:00 PM,24.08,.Z.VERMONT
10/19/2016 9:00:00 PM,24,.Z.CONNECTICUT
10/19/2016 9:00:00 PM,23.68,.Z.RHODEISLAND
10/19/2016 9:00:00 PM,23.79,.Z.SEMASS
